contents,date
<아이 엠 어 히어로> 영화 때문에 코믹스를 보고 있는데 한 사회의 좀비 감염 묘사가 너무나도 리얼해서 소름이 쫙 돋는다. 으으으 너무 무서워...,2016-08-31
이럴줄알았엌ㅋㅋㅋㅋㅋㅋㅋㅋㅋ아이엠히어로 올줄았았엌ㅋㅋㅋㅋㅋㅋ,2016-08-31
헉 아이엠어히어로 9월 22일에 영화 개봉하네 ㄷㄷ,2016-08-31
"이번엔 일본!

아이 엠 어 히어로 만화책으로 한참 보던건데..
영화 나오네요.. ㅎ http://fb.me/5BGhlM7Eb ",2016-08-31
[ #Tistory ] 아이 엠 어 히어로 (アイアムアヒーロー  I am a Hero  2015) http://ngroovy.tistory.com/659 ,2016-08-31
"<아이 엠 어 히어로> 메인 예고편
http://tvcast.naver.com/v/1088186?openType=nmp …",2016-09-01
아이엠어히어로 영화로나왓네 ㅋㅋ,2016-09-01
【IA】아이엠어 히어로【오리지널PV】 (4:47) #sm24137012 http://nico.ms/sm24137012?cp_webto=share_tw-spweb … #sakuraba,2016-09-01
"아이엠 어 히어로에서 어떤놈이 ""이제 슬 무리!!!""
하면서 ""베이컨 여기 두고갈게!! 그럼 이따봐!!"" 하면서 다리에서 뛰어내리던데 뭔가 멋졌다. ㅋㅋㅋ",2016-09-01
아이엠어 히어로 한번 봐야겠다,2016-09-01
아이 엠 어 히어로 익스 ㅇㅏㅇ 왜틀림 진짜 농노트 왜 뗐음 pic.twitter.com/vS76QjEtZP,2016-09-01
"-[영화] 아이 엠 어 히어로 (09월 04일 까지)
참여하기 > Nylon Korea ( http://evnt.ga/2783  )",2016-09-01
[아이 엠 어 히어로] 메인 예고편: http://youtu.be/Ss1aBtffKZo?a  via @YouTube,2016-09-01
아이 엠 더 히어로 완전 노관심이었는데  마사미분 나오는 거 알고 매우 보고싶어짐,2016-09-02
한번씩 쳐서 돌만 빼내고 다시 아이엠어히어로 쳐야지,2016-09-02
영화개봉도 있고 오랜만에 아이엠어히어로 보는데 개꿀잼ㅋㅋ,2016-09-02
와 미친 아이엠어 히어로가 영화로 나온다고? 거기에 한국에도ㅛ 개봉? 미쳤다,2016-09-02
아이 엠 어 히어로 노래 존좋,2016-09-02
방금 전에 리튓한 '아이엠어히어로'  제발 원작을 안 망쳤으면 좋겠음. 만화 원작을 애니화할 때도 작품성 망가지는 사례가 빈번한데 영화화할 때 개망하는 경우를 하도 많이 봐서.,2016-09-02
아이엠히어로는 양심적이였어,2016-09-02
아이엠어히어로 잼나겠어;;;,2016-09-02
"<아이 엠 어 히어로>네이버 시사회 응모>>http://m.movie.naver.com/m/event/EventView.nhn?id=5022 …
왜 이런 바이럴 마케팅 같은 멘션 올리냐면 내 덕질대상이 이 영화 주연이기 때문에…보지 않은 영화홍보라니 난 예전에 끝났어 덕질 때문에 하는거지╮(╯ㅁ╰"")╭ <<",2016-09-02
9/22<아이 엠 어 히어로>국내개봉 결정 소식 듣고 깨춤 추었는데\(* ´ ∀`)人(´∀ ` *)ノ포스터도 잘 뽑혔다.국제 판타스틱 영화제 등지에서 호평받은 좀비영화 보실래요  다음주 시사회도 있다 합니다. pic.twitter.com/hnuQdhG9VS,2016-09-02
아이엠어히어로? 조낸기대중,2016-09-02
마음이 시끄러워 몰입할 영화로 부산행을 봤다. 내 인생 첫 좀비영화라 긴장도 됐다. 그리고 감상은 1. 공유가 아빠라 처음부터 안심이었다. 2. 예고편 아이엠어히어로는 아마 못 보겠지  3. 울고 있는데 마지막 장면 나오자마자 불 켜는 씨지비,2016-09-03
아이엠어히어로 예고봣는디 재밌을거같애 좀비영환데 청불이네? 닥보러가야지,2016-09-03
아이 엠 어 히어로 개봉 1년만 늦춰주지.. 청불 젠장할..ㅠㅠ,2016-09-03
오 9월 말에 아수라랑 아이엠어히어로랑 미스송골매 다 개봉하는구나 제발 팀버튼님 이번에 명작 하나 뽑아주셨으면ㅠ,2016-09-03
아이엠어히어로 재미있겠다...,2016-09-03
【IA】아이엠어 히어로【오리지널PV】 (4:47) #sm24137012 http://nico.ms/sm24137012?cp_webto=share_tw-spweb … #sakuraba,2016-09-03
아이츄곡 아이 엠 어 히어로 아이츄 익스퍼트에선 쉬운데 윰캐는 풀콤 못하겠다 pic.twitter.com/zVmn0NQTmF,2016-09-04
[실시간 3위 아리무라 카스미] '아이 엠 어 히어로' 메인 포스터 공개 http://gamefocus.co.kr/detail.php?number=62777 …,2016-09-04
와 아이엠어 히어로 영화화됬네??? 대박,2016-09-04
아이 엠 어 히어로 청불이면 나 못 보는거...?ㅜㅠㅠㅠ,2016-09-05
"이미 개봉한 유포니엄 보러 가야되고 
0907 밀정  거울나라의 앨리스 
0914 매그니피센트 7  드림 쏭 
0922 아이 엠 어 히어로 

...앨리스를 제낄거같군",2016-09-05
싱 스트리트는 좋기야 하지만 여주가 별로라 두번 보긴 좀 그렇고..미 비포 유랑...인생은 아름다워...아이 엠 어 히어로는 내가 아는 일본 만화 원작 맞나?,2016-09-05
헉 아이엠어히어로 꼭 보고싶음ㅁㅁㅁㅁㅁㅁ,2016-09-05
"아이 엠 어 히어로
저거 아마 만화가 원작이지..",2016-09-06
"[CGV 특별상영 초대 이벤트] #아이엠어히어로
#CGV 가 추천하는 #추석 때 꼭 봐야할 #스릴만점 #화끈무비 <아이 엠 어 히어로> 추석특선 영화기획전 상영 초대이벤트!!! (총 120명)
_... http://fb.me/34cZCc7Au ",2016-09-06
"아이엠어히어로는 꽤 극찬이던거 같은데 영화의 대부분을 한국에서 찍었다고도 하니 흥미가 간다. 원작에 대해서는 본 적이 없지만..
최근에 재밌게 본 일본만화원작영화가 바쿠만이였는데 이건 어떨지 매우 궁금하다",2016-09-06
"cgv에서 추석특선으로 인기작과 몇몇 미개봉작을 7천원에 볼 수 있게 하는 이벤트를 하던데 대강 보니 보고싶은건 시간 없어서 못 본 도리  조금 기대작인 아이엠어히어로 
인도명작 세얼간이 히치콕 작품인 사이코 정도려나..",2016-09-06
"스릴만점 화끈무비 <아이 엠 어 히어로> CGV 추석특선 영화기획전 상영 초대이벤트! 9/10(토)~11(일) CGV상암 신촌 구로 영등포 대학로 중계 총120명!
http://instagram.com/p/BKBYOu6B6ys pic.twitter.com/TnCIQahWpN",2016-09-06
네이버 시사회 당첨률 낮은걸 알면서도 너무 오랜만에 응모한거라 쓸데없이 기대를 가지고 있었는데 <아이엠어히어로>시사회 떨어져서 시무룩(._. 티켓나눔터 이용해본지 n년만인데 여전히 이곳의 확고한 양도-보답 관계는 끼어들어갈 자리가..Aㅏ..,2016-09-06
스미마셍 이 히어로가 되기까지. <아이 엠 어 히어로> #왓챠 http://watcha.net/mv/i-am-a-hero-2015/mt2tae …,2016-09-06
싱글맨은 .. 대전에 안하고 .. 브리짓존스랑 아이엠어히어로 !!,2016-09-06
"대전사시는분??? 저 영화시사회 당첨됫는데 
아이엠어히어로 라고 일본 좀비물이고 청소년관람불가입니다.. 1인2석인데 누구 저랑같이 보러가주실분....?ㅠㅠㅠ",2016-09-06
【IA】아이엠어 히어로【오리지널PV】 (4:47) #sm24137012 http://nico.ms/sm24137012?cp_webto=share_tw-spweb … #sakuraba,2016-09-06
SNS에 지금 가장 핫이슈인 사진 한장 소개합니다.  속보)만화 아이엠 어 히어로 영화 개봉한다' 란 제목으로 확산되고 있으며 누리꾼들은 자신의 SNS나 활동하는 커... http://modoonews.com/?article=127840 ,2016-09-07
<아이엠어히어로> 우왓. 걱정 괜히 함. 재밌네. 엔딩이 안난 걸 마무리를 어떻게 할까 했는데 역시 한토막만 풀었네. 떼먹고 넘어 간 거중에 아까운거 좀 있는데 대체적으로 잘 뽑음. 부산행에서 봤음 했던 걸 여기서 품. 꿀렁꿀렁 잔혹 장면 간만에 봄.,2016-09-07
어 님들 CGV 아이엠어히어로 상영관 뚫렸음!!,2016-09-07
아이엠어히어로 시사회 보러 가는 길인데 이거 왜 -_- 자꾸 근심이 쌓이지; 벌써부터 만화 생각에 걱정이 주렁주렁인데.. 음. 그래도 빨리 보고 싶다.,2016-09-07
아이엠어 히어로는 곧 개봉한다,2016-09-07
【IA】아이엠어 히어로【오리지널PV】 (4:47) #sm24137012 http://nico.ms/sm24137012?cp_webto=share_tw-spweb … #sakuraba,2016-09-07
<밀정> <이상한 나라의 앨리스> <아이 엠 어 히어로> <미스 페레그린과 이상한 아이들의 집>... 9월 개봉되는 4DX 영화들 소개 http://buff.ly/2czHdYb pic.twitter.com/Slw0ZBjRIv,2016-09-07
ㅋㅋㅋㅋㅋㅋㅋㅋ아오 영화 예매보는데 아이엠스타뮤직어워드 찾으려고 목록 내리다가 아이엠어히어로 앞만보고 엥? 청불?>?>?? 하고 놀랐네 pic.twitter.com/rBE0CVIHYn,2016-09-07
