contents,date
베테랑 커맨더가 코드 엠프레스에게 수리를 받는 아침 8시. 당신  무식하리만큼 나소드 핸드에 많은 것들을 우겨넣었군요. 그렇게 말하면서도 이브는 레이븐의 심정을 이해할 수 있었다. 잃은 만큼 지키고 싶고  다시 되돌리고 싶으리라. 둘의 궤적은 같았다.,2015-07-06
"""우린 쥐도 새도 모르게 사고로 위장해 널 죽일 수 있다"" 김기춘 대통령 비서실장이 중앙정보부 간부이던 시절  한 인권변호사에게 한 말이다. 세월호 수색작업중이던 베테랑 잠수사가 석연찮은 이유로 사망하자마자 보수언론들이 정부옹호와 인양여론을 조성한다.",2015-07-06
"@BCXDE_bot (베테랑 커맨더의 얼굴이 울 것같다.)
그치만.. 그치만..
1. 씻겨주자.
2. 익사하게 냅두자",2015-07-06
@LAMBORLP640 베테랑 중 누가 최저계약으로 와서 벤치 채워주냐에 달려있죠,2015-07-06
"@BCXDE_bot (베테랑 커맨더가 수치스러운지 고개를 들지 못한다.)
1. 욕실로 데려가자
2. 잠깐 굴욕에 떠는걸 구경하는 것도 재미있을 것 같다",2015-07-06
"@BCXDE_bot 혼자서..! 씻을 수 있다..!
(작은 베테랑 커맨더가 소리쳤다.)",2015-07-06
@BCXDE2_bot .....그거 엄청나게 고맙고 귀엽지만 그대로 있다간 베테랑 커맨더 계란부침이 될 것 같은데.,2015-07-06
오  멀린. 멀린은 다른 요원들에게 필요하잖아요. 유능하고  베테랑이고. 여기서 제가 때려 치우는 것과 당신ㅇ. 때려 치우는 것 중  어떤 것이 더 효율적이겠어요? @Fuck_off_E,2015-07-06
"@yr__ao 앗!! 루댁님 마비하시는구나!!!
∑(ㅇlllㅇ )ㅇ..안돼요..!! 베테랑이면 아마 저 죽을꺼야..!!",2015-07-06
@Galchee12 @sssdr1ver 큰놈(검정)은 이미 베테랑 상사..같은 느낌이라 놀랐습니닼ㅋㅋㅋㅋㅋ,2015-07-06
@OOO_ASQ (..왜 실험실 문을 제대로 잠그지 않았나? 매 실험은 절차가 엄격해야 한다네. 아무리 베테랑이라고 해도 말일세..)(라고 말하려고 노력하지만 잘 안된다),2015-07-06
@D_n_c22 ㅠㅠㅠㅠㅠ아니 다뤄주신다니 표현 좋네요ㅠㅠㅠ... 솔직히 레오는 연애베테랑 같은 느낌이라ㅋㅋㅋㅋ 그치만 가끔 너무 좋아서 쿠로코한테 끌려다니는 레오네도 막 좋은ㅠㅠㅠㅠ!!,2015-07-06
"문제는 다른 배우들과의 밸런스가 잘 맞지 않는다는 거. 두 사람의 친구로 나오는 3명의 노인 배우들도 다들 베테랑이지만 아무래도 급이 너무 다르다보니 앙상블이 잘 안 나옴... 그나마 ""젊은 피""인 이완 리온씨가 자기 역할을 하기는 하는데 그래도...",2015-07-06
