contents,date
예매권이벤트> 오지호 x 이정진 주연 사이다 같은 액션 영화 대결  인터넷티비 VOD영화 올레~ http://blog.naver.com/8585g/220803121429 …,2016-09-02
스톰픽쳐스 영화 #대결 캐릭터 영상이 떴어요. 리얼현피액션영화 엔딩 크레딧에 제 이름도 올라온대요. 신선한 소재+독립영화계의 별 주승 배우 조합으로 9월 영화들과 대결 펼칠 영화 다 덤비러 갑시다 ♡ㅅ♡ pic.twitter.com/a7RpdiErJX,2016-09-02
영화 '밀정' '고산자'  9월 추석 연휴 극장가에서 맞대결 - 비즈니스포스트 http://fb.me/8xNlQ6HkT ,2016-09-02
<대결> 스팟라이브 사전예고영상 (출처 : 네이버 영화 | 네이버 TV캐스트) http://naver.me/xbDttAJ1 ,2016-09-02
영화 #대결 임창정 카메오 출연. 꼰대 편의점 알바 연기. http://buff.ly/2c9dMg8  pic.twitter.com/KcexsfJGzF,2016-09-02
09/04 01시-#네이버 #실검 1위: #강문영 /2위: #내가 저지른 사랑 /3위: #임창정 /4위:영화 대결/5위:라붐/6위:솔빈/7위:아는형님/8위:인터스텔라/9위:신데렐라와 네명의 기사/10위:무한도전,2016-09-03
동영상을 @YouTube 재생목록 http://youtu.be/ktb0DvoKWYE?a  대결 (2016)`` - 영화에 추가했습니다.,2016-09-03
"이번달에 대결이라는 영화가 개봉하는데 이주승도 좋아하는 배우라 관심이 감. 근데 이 오빠는 왜 맨날 백수나 그에 준하는 역할이야ㅋㅋㅋ
(첨부 이미지는 영화랑 상관없음ㅋ) pic.twitter.com/fiW5YvuBif",2016-09-03
"[포토] 솔빈  오는 9월 22일 개봉 영화 '대결' 카메오 출연
http://m.stardailynews.co.kr/news/articleView.html?idxno=109633 …
#라붐 #LABOUM #솔빈 #SolBin #대결 pic.twitter.com/Q3cC4JDCcD",2016-09-03
영화가좋다 대결 고산자 대동여지도 닌자터틀:어둠의...,2016-09-03
영화가좋다 - 대결: http://youtu.be/aRLY_2689y4?a  via @YouTube,2016-09-03
비밀 너무 좋아요.. . 흑건백건 피아노 대결할때면 눈 못 뗄것 같고 영화 도중 계속 나오는 피아노 곡들 들으면서 열심히 하겠습니다. 하고 굳게 마음 굳히겠죠 진단표 색 채우는데 제ㅇ일 크게 재미들렸을 것 같지만요 ㅋ ㅋㅌㅌ허엉,2016-09-03
