contents,date
"심지어 아메리칸 울트라는 개봉하는 게 맞는 건지도 모르겠다...
그리고 크림슨 피크랑 스펙터는 아무래도 미국 관크를 애써 무시하며 극장에서 봐야겠음",2015-08-04
헐 아메리칸 울트라에 크리스틴스튜어트나오네ㅋㅋㅋㅋㅋ재밌을듯ㅋㅋㅋ,2015-08-04
아메리칸 울트라 빨리 보고 싶다.,2015-08-04
이것도 보고 싶군뇨 #아메리칸울트라 @llento_pic.twitter.com/cYq96laSWl,2015-08-04
"병맛 웹툰 레전설 귀귀 작가와 함께한 역대급 콜라보! 
#귀귀 작가 x #아메리칸울트라 스페셜 #웹툰 최초공개!
지금 바로 확인 GO!
  http://bit.ly/1IxKdzA ",2015-08-04
아메리칸 울트라 귀귀 홍보 만화 진짜 미친거같닼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 요즘본거중에 제일 또라이같다 ㅋㅋㅋㅋㅋㅋㅋㅋ http://movie.naver.com/movie/magazine/magazine.nhn?sectionCode=SPECIAL_REPORT&nid=2798 …,2015-08-04
액션 코미디 <아메리칸 울트라> 메인 포스터 공개 http://buff.ly/1DoqS3p pic.twitter.com/vmChN5tlin,2015-08-04
미임파5랑 미니언즈랑 아메리칸 울트라 보고 싶은데 인간적으로 셋 중 하나정도는 누구랑 같이 봐도 되는 거 아니냐!(히토리봇치(히키코모리,2015-08-04
올레와 함께하는 코믹 액션영화 아메리칸 울트라 역대급 비정상 스파이... 예메권 추첨이벤트~ http://blog.naver.com/tims1472/220442114014 …,2015-08-05
이제 이번달은 아메리칸 울트라남았다.. ._.)!!!!!!!!!!!!!!!!!!!!!!!,2015-08-05
귀귀가 그린 #아메리칸울트라 콜라보 웹툰 공개 http://buff.ly/1eSIA3t pic.twitter.com/dtiYDlS0mM,2015-08-05
[실시간 5위 베테랑] 아메리칸 울트라 vs 판타스틱4 vs 베테랑 vs 협녀  칼의 기억 http://moviejoy.com/themem/e_view.asp?db=qna5&num=17531 …,2015-08-05
"8/13 협녀  칼의 기억/미쓰 와이프/무민 더 무비/숀더쉽
8/20 뷰티 인사이드/판타스틱4/더 로프트: 비밀의 방/쿠크하트/퇴마: 무녀굴
8/27 아메리칸 울트라
9/3  PK/히트맨: 에이전트47
9/10 셀프/리스
9/17 스코치 트라이얼",2015-08-05
