contents,date
현대인 자화상 담은 영화‘매기스 플랜’과‘단지 세상의 끝’@newsvop [여러분의 후원문자 큰힘이 됩니다.300원/건 http://gums.kr/20543  ] http://www.vop.co.kr/A00001105953.html …,2017-01-02
매기스 플랜! 에단호크 줄리안무어 그레타거윅  배우들 만으로도 기대되는 영화.,2017-01-02
<무비프리 이벤트> 매기스 플랜  Maggie's Plan 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 즐겨보세요!.  http://app.moviepre.co.kr  pic.twitter.com/h4e3AxyilU,2017-01-02
2017.01.03 Cgv 여의도#매기스플랜 pic.twitter.com/G8dVMCvy5l,2017-01-03
매기스 플랜 봤다. 내 비눗방울 강철 방울,2017-01-03
매기스플랜 시사회 왔다ㅠ #매기스플랜pic.twitter.com/PJy3p3tilg,2017-01-03
아마도 1월은 매기스플랜이다,2017-01-03
꼬이고 꼬여버린 소설은 불태워버리자 <매기스 플랜> #왓챠 http://watcha.net/movies/myl1nh?unique_id=myl1nh …,2017-01-03
매기스플랜. 50대버전 청춘스케치 같고 ㅋㅋㅋ 청춘스케치의 트로이가 나이들어서 딱 이렇게 된것같음.,2017-01-03
매기스 플랜 못보고 출국각일듯.. 시사회 응모한거도 떨어지구.. 시사회 날짜가 출국일이구..ㅜㅠㅠ,2017-01-03
매기스플랜ㅠㅜ 그레타거윅의 사랑스러움이 가득한 영화!!! 엉뚱한면이 가득한 매기와 주변 인물들이지만 서로 주고받는 핑퐁같은 대화와 감정표현들에 엄마미소 지으면서 흐믓하게 지켜보고 웃으면서 볼수있던 영화  ㅎ 무엇보다 안경쓴 에단이 매우 잘생김ㅠ,2017-01-03
에단 호크 섹시하다 역시 말라야 섹시해 하지만 영화보는 내내 본투비블루 떠올라서 좀 웃겼다 재미진 영화였어 매기'스 플랜  흥행은 못할듯,2017-01-03
"<매기스 플랜> 봤고 줄리안 무어 너무 짱인 것이다.
매기(그레타 거윅) 캐릭터도 너무 좋았는데 영화가 뒤로 갈수록 매기가 안보였던 건 좀 아쉬운 지점.",2017-01-03
"오늘 시사회 엄청 많은데 연극 보러가는 슬픔   
매기스 플랜 또 시사하길 바라고...",2017-01-03
"스크린 속 시대를 앞서가는
#걸크러쉬 #마이웨이 언니들은 누구?!

#시카고 #500일의썸머
그리고 #매기스플랜 까지!

#에단호크  #줄리안무어  #그레타거윅
<매기스 플랜> 1월 대개봉! http://fb.me/5wQDtX2vS ",2017-01-04
영화 '매기스 플랜' 한때 배우로도 활약했던 레베카 밀러가 직접 연출하고 각본에도 참여한 작품 이제는 감독이 누구냐보다 그레타 거윅이 나오고 안나오고에 따라 흐름이 결정되는듯ㅋㅋ pic.twitter.com/yZ7Y6ejXsZ,2017-01-04
메일 게이즈(Male gaze)에서 자유로운 영화란 대체 뭘까?라는 고민을 하고 있다면 곧 개봉할 <매기스 플랜>을 보라. 줄리안 무어  그레타 거윅  에단 호크의 코믹 앙상블을 보는 재미는 덤.,2017-01-04
[1300K 참여이벤트] @sokoob [영화] 매기스플랜 http://1300k.com/sokoob/event/eventView.html?f_eventno=16043&from=twitter …,2017-01-05
<매기스 플랜> Maggie's Plan  통통튀는 뉴욕 로맨스 & 소동극의 재미? (출처 : ★ 무비 J.. | http://blog.naver.com/kaminari2002/220902773115 … 블로그) http://naver.me/FbQX1owF ,2017-01-05
<매기스 플랜> - 꼬이고 꼬인 소설은 불태워버리자 http://dsp9596.blog.me/220903283348 ,2017-01-05
얼라이드  (어쌔신 크리드)  녹터널 애니멀스  반지 원정대 확장판外 반지 시리즈  모아나  더 킹  (빌리 엘리어트)  단지 세상의 끝  (여인의 향기)  매기스 플랜  (스노든)  재키  (신 고질라) #이번달에볼것들,2017-01-05
