contents,date
굿바이 싱글 짱짱 pic.twitter.com/szFLvOn6Zm,2016-06-02
"6/2 Goodbye Single電影首映

#Repost soul_5sy
・・・
#무대인사#굿바이싱글#김혜수#마동석#곽시양#엄주임님 생각지도 못했던 선물주셔서 감사해요!! https://www.instagram.com/p/BGKEZSugouZ/ ",2016-06-02
김혜수 “서현진  ‘굿바이 싱글’ 마동석 아내로 등장” http://dam25.com/?p=230161 pic.twitter.com/HH7BJDdSll,2016-06-02
갓혜수 굿바이싱글 보세여 두번보세여 pic.twitter.com/vJxQRvjQJ8,2016-06-02
"영화협찬. '굿바이 싱글' 마동석씨 노트커버. 
호윈사의 크로멕셀로 제작한 노트커버입니다. 영화도 재밌습니다. :) 아무 생각없이 즐기시다 보면 웃음과 눈물이 함께 하실 거예요. ;)

#굿바이싱글 #마동석 #김혜수",2016-06-02
굿바이싱글 시사회 친구 당첨되서 건대로 보러왔지요!!!@.@ 영화보기 전에는 먹눈거랬어!!!! pic.twitter.com/Q7X5n10arV,2016-06-02
건대 롯데시네마의 줄은 엄청납니다. 아마도 제가 이 시사회에 올 수 있었던 이유도 이렇게 많은 사람이 당첨됐기 때문이겠죠. #굿바이싱글 pic.twitter.com/KUH2axREKS,2016-06-02
"코미디를 보고 나왔는데  눈물이 났다.
굿바이싱글 태그는달지않으마.",2016-06-02
헐ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ굿바이싱글 개봉날에 바로 못보잖아..? 내 현일이 덕질을 못하게 하네....아 상미 보고싶다고 ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ,2016-06-02
"150602 굿바이싱글 건대시사회 곽시양
오빠..키..너무 크시고..너무..잘생기시고..존재감..뿜뿜.. pic.twitter.com/jyc7az4Ce1",2016-06-02
"굿바이싱글 시사회 @ 코엑스 메가박스
김혜수님 아름다우십니다 +_+ pic.twitter.com/MI0g7JWfWI",2016-06-02
굿바이 싱글  의외로 재미있었다. 김혜수와 김현수 모두 정말 예쁘고 마동석과 김용건  황미영 등의 연기도 좋았고.,2016-06-02
'웃음 뒤에 감동' 이런 흔한 표현은 좀 그렇고 '애는 혼자 만드는 것'도 아닌데 정작 임신으로 공격받는 건 여자  그 여자를 공격하는 것도 여자. 왜 서로가 서로를 돌봐주지 못하는 것인지 생각해보게 하는 영화였다 #굿바이 싱글,2016-06-02
