영화명,개봉일,관객수,스크린수,대표국적,배급사
러브 액츄얼리,2003-12-05,"488,600",41.0,미국,"(주)제이앤씨미디어그룹,UIP코리아,(유)조이앤시네마"
맨 온 파이어,2004-09-24,"480,040",25.0,미국,이십세기폭스필름코퍼레이션
페이스,2004-06-11,"474,000",37.0,한국,(주)시네마서비스
화씨 911,2004-07-22,"459,404",22.0,미국,스튜디오플러스(주)
세상의 중심에서 사랑을 외치다,2004-10-08,"428,202",37.0,일본,(주)동아수출공사
리딕 - 헬리온 최후의 빛,2004-08-13,"427,154",45.0,미국,씨제이엔터테인먼트
옹박 - 무에타이의 후예,2004-05-26,"400,958",12.0,태국,(주)쇼박스
브라더 베어,2004-01-16,"352,691",32.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
아홉살 인생,2004-03-26,"352,182",27.0,한국,(주)시네마서비스
썸,2004-10-22,"346,000",35.0,한국,(주)시네마서비스
나두야 간다,2004-06-25,"342,300",20.0,한국,롯데쇼핑㈜롯데시네마
인형사,2004-07-30,"339,038",15.0,한국,롯데쇼핑㈜롯데시네마
디 아이2,2004-05-26,"335,000",27.0,홍콩,쇼이스트(주)
가필드,2004-08-19,"330,380",29.0,미국,이십세기폭스필름코퍼레이션
폴라 익스프레스,2004-12-23,"326,500",40.0,미국,워너브러더스 코리아(주)
알렉산더,2004-12-31,"323,488",71.0,미국,(주)시네마서비스
더 캣,2003-12-31,"322,859",45.0,미국,씨제이엔터테인먼트
에이리언 VS 프레데터,2004-09-03,"304,360",43.0,미국,이십세기폭스필름코퍼레이션
새벽의 저주,2004-05-14,"300,000",30.0,미국,UIP코리아
첫키스만 50번째,2004-04-15,"293,376",24.0,미국,"팝엔터테인먼트,한국소니픽쳐스릴리징브에나비스타영화㈜"
여자는 남자의 미래다,2004-05-05,"284,872",36.0,한국,씨제이엔터테인먼트
쓰리 몬스터,2004-08-20,"281,540",28.0,한국,씨제이엔터테인먼트
킬 빌2,2004-05-14,"274,469",26.0,미국,씨제이엔터테인먼트
캣우먼,2004-09-24,"267,300",34.0,미국,워너브러더스 코리아(주)
바람의 전설,2004-04-09,"266,000",40.0,한국,(주)시네마서비스
까불지마,2004-12-03,"255,967",36.0,한국,영화사청어람(주)
