영화명,개봉일,관객수,스크린수,대표국적,배급사
탑 블레이드 더 무비,2009-01-15,"38,862",117,일본,"롯데쇼핑㈜롯데엔터테인먼트,SBS프로덕션"
언더월드: 라이칸의 반란,2009-09-03,"36,737",49,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
마법의 세계 녹터나,2009-08-27,"35,959",151,스페인,롯데쇼핑㈜롯데엔터테인먼트
처음 본 그녀에게 프로포즈하기,2009-09-09,"35,213",169,미국,롯데쇼핑㈜롯데엔터테인먼트
임피 원더랜드 가다,2009-06-11,"34,995",64,독일,씨제이 씨지브이(CJ CGV)(주)
19-Nineteen,2009-11-12,"32,800",69,한국,씨제이엔터테인먼트
뮤턴트: 다크 에이지,2009-01-08,"32,267",101,미국,(주)넥스트엔터테인먼트월드(NEW)
할로윈:살인마의 탄생,2009-05-14,"31,068",116,미국,(주)성원아이컴
옹박: 더 레전드,2009-05-14,"31,042",172,태국,㈜케이디미디어
사랑 후에 남겨진 것들,2009-02-19,"30,926",5,독일,(주)영화사 진진
언노운 우먼,2009-07-01,"30,545",20,이탈리아,씨제이엔터테인먼트
나루토 질풍전 극장판-불의 의지를 잇는 자,2009-10-22,"30,053",67,일본,에이원엔터테인먼트
비상,2009-12-03,"29,223",160,한국,(주)성원아이컴
버터플라이,2009-01-15,"28,250",28,프랑스,"프리비젼엔터테인먼트,퍼스트런피쳐"
그루지 3,2009-08-27,"27,904",57,미국,㈜케이디미디어
줄리 & 줄리아,2009-12-10,"27,850",31,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
러브 인 클라우즈,2008-12-31,"26,739",34,호주,예지림엔터테인먼트
다크 나이트,2008-08-06,"26,264",462,미국,"주식회사 해리슨앤컴퍼니,워너브러더스 코리아(주)"
컴 아웃 파이팅,2009-10-22,"25,656",143,미국,
위대한 침묵,2009-12-03,"24,627",1,독일,(주)영화사 진진
낮술,2009-02-05,"24,595",11,한국,(주)영화사 진진
아부지,2009-07-15,"24,498",38,한국,실버스푼
달콤한 거짓말,2008-12-18,"24,276",339,한국,씨제이엔터테인먼트
해피 플라이트,2009-07-16,"24,040",16,일본,프리비젼엔터테인먼트
쉘 위 키스,2009-06-18,"23,639",40,프랑스,프리비젼엔터테인먼트
프로스트 VS 닉슨,2009-03-05,"22,464",76,미국,유니버설픽쳐스인터내셔널 코리아(유)
아스테릭스: 미션 올림픽 게임,2009-06-18,"21,678",115,프랑스,(주)넥스트엔터테인먼트월드(NEW)
"지금, 이대로가 좋아요",2009-04-23,"21,212",10,한국,"(주)스폰지이엔티,스폰지"
싸이보그 그녀,2009-05-14,"20,975",112,한국,(주)넥스트엔터테인먼트월드(NEW)
맘마미아!,2008-09-03,"20,771",457,미국,유니버설픽쳐스인터내셔널 코리아(유)
날아라 펭귄,2009-09-24,"20,599",45,한국,스튜디오느림보
초코초코 대작전,2009-05-01,"20,463",35,일본,롯데쇼핑㈜롯데엔터테인먼트
숏버스,2009-03-12,"18,621",51,미국,실버스푼
퀸 락 몬트리올,2009-07-30,"18,545",6,영국,㈜씨에이엔
원 위크,2009-09-24,"18,454",17,캐나다,실버스푼
레인,2009-07-09,"18,186",18,프랑스,(주)스폰지이엔티
하늘과 바다,2009-10-28,"18,059",186,한국,롯데쇼핑㈜롯데엔터테인먼트
여행자,2009-10-29,"17,399",59,한국,(주)영화사 진진
걸어도 걸어도,2009-06-18,"17,340",6,일본,(주)영화사 진진
도쿄 마블 초콜릿,2009-01-29,"17,327",24,일본,(주)영화사구안
니코,2008-12-24,"17,299",168,핀란드,롯데쇼핑㈜롯데엔터테인먼트
롤라,2009-01-15,"16,578",24,프랑스,㈜메가박스
브로큰 임브레이스,2009-11-19,"14,502",6,스페인,"유니버설픽쳐스인터내셔널 코리아(유),(주)홈초이스"
마이 마이 신코 이야기,2009-12-10,"13,955",31,일본,에이원엔터테인먼트
보트,2009-05-28,"13,904",51,한국,(주)스폰지이엔티
더 문,2009-11-26,"13,855",46,영국,(주)영화사구안
미어캣의 모험,2009-08-06,"13,797",62,영국,예지림엔터테인먼트
판타스틱 Mr. 폭스,2009-12-24,"13,704",11,미국,이십세기폭스코리아(주)
요시노 이발관,2009-06-25,"13,512",7,일본,(주)스폰지이엔티
다우트,2009-02-12,"13,377",11,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
하이 스쿨 뮤지컬: 졸업반,2009-02-19,"13,217",9,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
나의 판타스틱 데뷔작,2009-05-07,"12,941",75,영국,예지림엔터테인먼트
세비지 그레이스,2009-07-09,"12,288",8,프랑스,실버스푼
벨라,2009-10-01,"12,250",17,미국,"크로스픽쳐스(주),실버스푼"
더 폴: 오디어스와 환상의 문,2008-12-04,"12,190",1,인도,(주)영화사구안
세라핀,2009-06-04,"11,674",4,프랑스,(주)영화사구안
헬로우 마이 러브,2009-10-08,"10,905",39,한국,씨제이엔터테인먼트
로맨틱 아일랜드,2008-12-24,"10,569",208,한국,실버스푼
북극의 눈물,2009-10-15,"10,511",44,한국,실버스푼
룸바,2009-08-06,"9,053",14,프랑스,(유)마스엔터테인먼트코리아
"히말라야, 바람이 머무는 곳",2009-06-11,"8,986",27,한국,한국예술영화관협회
엘레지,2009-03-19,"8,737",10,미국,(주)누리픽쳐스
오이시맨,2009-02-19,"8,569",15,한국,(주)스폰지이엔티
신부의 수상한 여행가방,2009-10-29,"8,452",15,일본,씨제이엔터테인먼트
토끼와 리저드,2009-10-22,"8,417",61,한국,롯데쇼핑㈜롯데엔터테인먼트
"사랑을 부르는, 파리",2009-05-07,"8,330",16,프랑스,소서러스어프렌티스(주)
디스 이즈 잉글랜드,2009-08-13,"8,249",2,영국,㈜영화사 백두대간
디트로이트 메탈 시티,2009-05-21,"8,202",12,일본,(주)영화사구안
나무없는 산,2009-08-27,"7,808",35,한국,씨제이엔터테인먼트
반두비,2009-06-25,"7,774",21,한국,㈜인디스토리
귀없는 토끼,2009-11-19,"7,535",25,독일,씨제이엔터테인먼트
나는 행복합니다,2009-11-26,"7,430",54,한국,(주)영화사 진진
하바나 블루스,2009-09-17,"7,142",10,스페인,소나무미디어
웰컴,2009-12-10,"7,042",16,프랑스,실버스푼
렛 미 인,2008-11-13,"6,914",50,스웨덴,"씨네그루(주)다우기술,(주)영화사구안"
"마이 프렌즈, 마이 러브",2009-07-23,"6,754",2,프랑스,(주)영화사구안
애니 레보비츠: 렌즈를 통해 들여다본 삶,2009-06-11,"6,451",3,미국,(주)스폰지이엔티
미래를 걷는 소녀,2009-09-17,"6,397",21,일본,(주)영화사구안
원스,2007-09-20,"6,310",10,아일랜드,"(주)제이앤씨미디어그룹,(주)영화사 진진"
레이첼 결혼하다,2009-02-26,"5,747",5,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
천국의 속삭임,2009-12-17,"5,616",8,이탈리아,㈜인디스토리
악마가 너의 죽음을 알기전에,2009-05-14,"5,606",1,미국,"(유)영화사 화수분,(주)아펙스 엔터테인먼트"
시간의 춤,2009-12-03,"5,480",14,한국,㈜인디스토리
"베로니카, 죽기로 결심하다",2009-11-19,"5,477",12,미국,(주)성원아이컴
여름의 조각들,2009-03-26,"5,288",7,프랑스,(주)영화사구안
굿'바이,2008-10-30,"5,287",167,일본,㈜케이디미디어
도쿄 소나타,2009-03-19,"5,106",3,일본,(주)스폰지이엔티
선샤인 클리닝,2009-09-03,"5,073",11,미국,(주)영화사구안
산타렐라 패밀리,2009-09-17,"4,838",16,스페인,이미지팩토리
보이 A,2009-05-21,"4,754",1,영국,(주)영화사구안
시선 1318,2009-06-11,"4,707",14,한국,㈜영화사 백두대간
플라스틱 시티,2009-07-30,"4,681",4,홍콩,(주)스폰지이엔티
카운테스,2009-12-03,"4,590",28,프랑스,"(주)누리픽쳐스,씨제이 씨지브이(CJ CGV)(주)"
트라이앵글,2009-11-19,"4,555",54,한국,씨제이엔터테인먼트
제노바,2009-11-19,"4,450",1,영국,㈜영화사 백두대간
이스턴 프라미스,2008-12-11,"4,324",15,미국,(유)마스엔터테인먼트코리아
비발디,2009-01-08,"4,092",14,프랑스,미디어소프트
바더 마인호프,2009-07-23,"4,030",3,독일,(유)마스엔터테인먼트코리아
로나의 침묵,2009-06-04,"4,026",4,벨기에,실버스푼
조용한 혼돈,2009-08-27,"3,990",4,이탈리아,(주)영화사 진진
파이어프루프-사랑의 도전,2009-09-18,"3,933",3,미국,"크로스픽쳐스(주),(주)허리우드극장"
블랙 아이스,2009-04-23,"3,929",2,핀란드,프리비젼엔터테인먼트
엘라의 계곡,2009-12-10,"3,910",27,미국,인터비스앤파트너스(주)
황금시대,2009-09-10,"3,779",18,한국,"㈜인디스토리,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주)"
플래닛 비보이,2009-10-15,"3,650",13,미국,(주)솔강
미안하다 독도야,2008-12-31,"3,560",61,한국,메가픽쳐스제이씨(주)
로큰롤 인생,2008-11-27,"3,544",4,영국,(주)영화사 진진
저녁의 게임,2009-10-29,"3,487",4,한국,한국예술영화관협회
아빠의 화장실,2009-06-25,"3,378",1,우루과이,(주)영화사 진진
친구사이?,2009-12-17,"3,240",7,한국,청년필름(주)
요시토모 나라와의 여행,2008-12-24,"3,164",1,일본,(주)스폰지이엔티
살아있는 야생탐험,2009-05-11,"3,135",1,이스라엘,씨제이 씨지브이(CJ CGV)(주)
마터스: 천국을 보는 눈,2009-08-06,"2,966",3,프랑스,(주)넥스트엔터테인먼트월드(NEW)
피쉬 스토리,2009-07-30,"2,649",8,일본,씨제이엔터테인먼트
"바다 쪽으로, 한 뼘 더",2009-05-21,"2,529",6,한국,㈜인디스토리
물 좀 주소,2009-06-04,"2,483",10,한국,(주)유니코리아문예투자
나의 마음은 지지 않았다,2009-02-26,"2,456",6,한국,"㈜인디스토리,시네마달"
더 코브: 슬픈 돌고래의 진실,2009-10-29,"2,401",2,미국,(주)스폰지이엔티
일렉트릭 미스트,2009-12-17,"2,396",14,미국,씨제이엔터테인먼트
사일런트 웨딩,2009-08-20,"2,383",3,루마니아,프리비젼엔터테인먼트
바시르와 왈츠를,2008-11-20,"2,174",2,이스라엘,서울엠피필름(주)
어떤 방문,2009-11-12,"2,079",7,한국,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주)
적벽대전:거대한 전쟁의 시작,2008-07-10,"2,029",447,중국,(주)쇼박스
까칠한 그녀의 달콤한 연애비법,2009-10-22,"1,970",21,미국,실버스푼
24 시티,2009-01-29,"1,839",1,중국,위드시네마
알제리 전투,2009-10-15,"1,798",1,이탈리아,실버스푼
트릭스,2009-11-12,"1,776",7,폴란드,프리비젼엔터테인먼트
약속해줘!,2009-08-13,"1,763",2,프랑스,(주)스폰지이엔티
러브 매니지먼트,2009-12-31,"1,755",42,미국,(주)싸이더스
할매꽃,2009-03-19,"1,752",7,한국,"㈜인디스토리,시네마달"
부에노스 아이레스 탱고 카페,2008-11-06,"1,668",3,미국,(주)영화사 진진
로니를 찾아서,2009-06-04,"1,495",6,한국,(주)영화사 진진
20세기 소년-제2장: 마지막 희망,2009-12-17,"1,470",11,일본,㈜메가박스
굿바이 그레이스,2009-10-22,"1,361",2,미국,(주)영화사구안
보이 걸 씽,2009-03-12,"1,309",1,영국,(주)영화사구안
북극의 연인들,2008-12-04,"1,292",7,스페인,이미지팩토리
홈,2009-06-05,"1,177",5,프랑스,씨제이엔터테인먼트
스트레인저: 무황인담,2009-03-12,"1,147",1,일본,미디어소프트
야스쿠니,2009-08-06,"1,145",5,중국,실버스푼
3xFTM,2009-06-04,"1,140",4,한국,"시네마달,미디어지따"
우리도 사랑한다,2009-05-28,"1,136",1,독일,실버스푼
단지 유령일 뿐,2009-03-19,"1,107",1,독일,㈜세종커뮤니케이션스
좋아서 만든 영화,2009-12-17,"1,096",5,한국,(주)영화사 진진
약탈자들,2009-06-18,"1,071",4,한국,(주)영화사구안
밤과 낮,2008-02-28,"1,064",18,한국,(주)스폰지이엔티
퍼니 게임,2009-10-08,"1,043",2,미국,(주)스폰지이엔티
고갈,2009-09-03,"1,019",3,한국,"곡사,서울독립영화제"
감자심포니,2009-12-10,981,9,한국,(주)이모션픽처스
미인도,2008-11-13,974,463,한국,씨제이엔터테인먼트
다 큰 여자들,2009-10-08,943,2,일본,(주)이모션픽처스
해피 고 럭키,2008-11-20,942,1,영국,(주)스폰지이엔티
미후네,2008-11-20,933,3,덴마크,㈜영화사 백두대간
"좋은 놈, 나쁜 놈, 이상한 놈",2008-07-17,924,825,한국,씨제이엔터테인먼트
맨 어바웃 타운,2009-06-18,824,1,미국,실버스푼
하쉬 타임,2009-09-17,822,1,미국,실버스푼
압록강은 흐른다,2009-06-04,806,1,한국,주식회사 루믹스미디어
피아노의 숲,2008-10-30,728,14,일본,"(주)이모션픽처스,THE 픽쳐스"
유어 프렌즈,2009-03-05,716,3,일본,위드시네마
레저베이션 로드,2009-01-29,711,2,미국,(주)영화사구안
구구는 고양이다,2008-10-16,675,11,일본,씨제이엔터테인먼트
타이드랜드,2009-02-05,645,1,영국,(유)마스엔터테인먼트코리아
살기 위하여,2009-04-16,645,1,한국,시네마달
로프트,2009-09-03,608,9,일본,(주)미로비젼
"나의 친구, 그의 아내",2008-11-27,552,1,한국,(주)프라임엔터테인먼트
독,2009-08-20,538,4,한국,㈜인디스토리
처음 만난 사람들,2009-06-04,537,4,한국,"㈜인디스토리,아트플러스시네마네트워크"
도쿄!,2008-10-23,537,50,일본,(주)싸이더스
돌멩이의 꿈,2009-12-10,521,10,한국,씨제이엔터테인먼트
로스트 맨,2009-08-06,503,1,프랑스,(주)영화사 진진
지구에서 사는 법,2009-09-24,502,5,한국,㈜인디스토리
어떤 개인 날,2009-03-12,494,1,한국,씨제이엔터테인먼트
그래도 내가 하지 않았어,2008-12-11,480,4,일본,서울엠피필름(주)
낙원-파라다이스,2009-11-26,472,11,한국,씨제이엔터테인먼트
연인들,2008-12-04,469,2,한국,㈜인디스토리
플라이 미 투 더 문,2008-10-30,449,146,벨기에,(주)시너지하우스 (시너지)
오펄 드림,2008-12-24,448,1,호주,(주)영화사구안
사람을 찾습니다,2009-12-17,433,5,한국,(주)키노아이디엠씨
마음의 속삭임,2008-11-27,431,1,프랑스,㈜영화사 백두대간
장례식의 멤버,2009-03-12,395,1,한국,씨제이엔터테인먼트
티스,2009-01-15,372,1,미국,(유)마스엔터테인먼트코리아
결혼식 후에,2009-12-03,347,9,한국,씨제이엔터테인먼트
러브렉트,2009-09-03,321,1,미국,실버스푼
푸른 강은 흘러라,2009-10-08,319,3,한국,
굿바이 초콜릿,2009-10-15,311,1,미국,실버스푼
약수터 부르스,2009-11-26,305,3,한국,롯데쇼핑㈜롯데시네마
그녀들의 방,2009-03-12,304,1,한국,씨제이엔터테인먼트
샘터분식-그들도 우리처럼,2009-11-26,294,3,한국,시네마달
라라 선샤인,2009-10-22,293,1,한국,(주)인디플러그
킹 오브 더 힐,2009-02-05,282,1,스페인,(주)유레카픽쳐스
와인 미라클,2008-11-13,269,109,미국,롯데쇼핑㈜롯데엔터테인먼트
핑크 토끼,2009-08-20,265,3,한국,한코리아
길,2009-05-14,260,3,한국,시네마달
열흘 밤의 꿈,2008-12-18,260,2,일본,시네마밸리
멋진 하루,2008-09-25,259,299,한국,롯데쇼핑㈜롯데엔터테인먼트
허수아비들의 땅,2009-04-30,252,2,한국,(주)스튜디오이쩜영
나는 곤경에 처했다!,2009-12-10,235,1,한국,씨제이 씨지브이(CJ CGV)(주)
드레드,2009-12-03,215,2,영국,(주)누리픽쳐스
추적,2008-11-20,199,1,영국,(주)영화사구안
귀향,2009-11-05,196,2,한국,실버스푼
사과,2008-10-16,194,111,한국,영화사청어람(주)
거기엔 래퍼가 없다,2009-09-03,193,2,일본,(주)이모콘
제불찰씨 이야기,2009-03-12,192,1,한국,
북 오브 블러드,2009-12-03,190,1,영국,(주)누리픽쳐스
너와 나의 21세기,2009-12-10,184,1,한국,씨제이 씨지브이(CJ CGV)(주)
내 남자는 바람둥이,2009-07-23,180,1,미국,실버스푼
동백아가씨,2008-11-20,168,3,한국,시네마달
낙타는 말했다,2009-11-13,167,1,한국,㈜인디스토리
천하무적,2009-04-09,166,1,중국,㈜코리아스크린
도시락,2009-08-06,160,2,한국,청년필름(주)
C+ 탐정,2009-12-10,157,3,홍콩,실버스푼
로망은 없다,2009-12-10,152,1,한국,씨제이 씨지브이(CJ CGV)(주)
마이 블루베리 나이츠,2008-03-06,151,157,홍콩,(주)쇼박스
리튼,2008-12-26,144,1,한국,㈜인디스토리
중경,2008-11-06,127,2,한국,(주)스폰지이엔티
라콤 루시앙,2008-12-24,106,1,프랑스,
분노의 핑퐁,2009-02-05,103,1,미국,(주)CM엔터테인먼트
이리,2008-11-13,98,6,한국,"(주)스폰지이엔티,스폰지"
비몽,2008-10-09,94,100,한국,(주)스폰지이엔티
누들,2008-08-14,92,11,이스라엘,프리비젼엔터테인먼트
미쓰 홍당무,2008-10-16,89,290,한국,(주)벤티지홀딩스
컨트롤,2008-10-30,85,7,영국,서울엠피필름(주)
기죽지 마라,2009-12-17,81,3,한국,(주)키노아이디엠씨
스톰브레이커,2009-10-29,79,1,영국,실버스푼
"피아노, 솔로",2008-10-23,78,4,이탈리아,㈜인디스토리
초감각 커플,2008-11-27,75,6,한국,필름메신저
여자 없는 세상,2009-12-10,74,1,한국,씨제이 씨지브이(CJ CGV)(주)
콰이어트 맨,2008-11-27,66,12,미국,프리비젼엔터테인먼트
어웨이 프롬 허,2008-03-27,64,4,캐나다,(유)마스엔터테인먼트코리아
우린 액션배우다,2008-08-28,64,9,한국,KT&G 시네마 상상마당
인디애니박스:셀마의 단백질 커피,2008-06-20,61,3,한국,㈜인디스토리
캔디,2008-04-17,56,4,호주,프리비젼엔터테인먼트
섹스 드라이브,2009-09-17,56,1,미국,(유)마스엔터테인먼트코리아
자유로운 세계,2008-09-25,53,2,영국,(주)영화사 진진
샘스 레이크,2009-10-29,43,2,캐나다,(주)미로비젼
미스트리스,2008-07-31,42,5,프랑스,프리비젼엔터테인먼트
올웨이스 비보이,2009-12-24,36,3,한국,실버스푼
나의 노래는,2008-04-24,30,1,한국,㈜인디스토리
1724 기방난동사건,2008-12-03,28,337,한국,(주)싸이더스
칼라스 포에버,2007-12-27,16,1,이탈리아,판씨네마(주)
셔틀,2009-02-12,15,1,미국,(주)케이앤엔터테인먼트
패밀리가 간다,2009-04-30,15,1,미국,프리비젼엔터테인먼트
인택토,2009-03-26,13,1,스페인,㈜코리아스크린
사랑에서 영혼으로,2009-12-03,9,1,홍콩,실버스푼
죽기 전에 해야할 몇가지 것들,2009-07-09,4,1,한국,(주)이모션픽처스
글래머 승부사 리카,2009-05-09,3,1,일본,씨앤피미디어
불륜,2009-09-12,2,1,일본,씨앤피미디어
아바타,2009-12-17,"8,435,381",912,미국,"주식회사 해리슨앤컴퍼니,이십세기폭스코리아(주)"
아저씨,2010-08-04,"6,282,774",478,한국,씨제이엔터테인먼트
인셉션,2010-07-21,"5,926,948",528,미국,워너브러더스 코리아(주)
의형제,2010-02-04,"5,507,106",572,한국,(주)쇼박스
아이언맨 2,2010-04-29,"4,498,335",757,미국,씨제이엔터테인먼트
전우치,2009-12-23,"3,671,356",606,한국,씨제이엔터테인먼트
이끼,2010-07-14,"3,408,144",736,한국,씨제이엔터테인먼트
포화속으로,2010-06-16,"3,385,706",736,한국,롯데쇼핑㈜롯데엔터테인먼트
하모니,2010-01-28,"3,068,544",405,한국,씨제이엔터테인먼트
방자전,2010-06-02,"3,035,116",512,한국,씨제이엔터테인먼트
솔트,2010-07-29,"2,921,331",556,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
부당거래,2010-10-28,"2,766,436",502,한국,씨제이엔터테인먼트
시라노; 연애조작단,2010-09-16,"2,731,828",402,한국,롯데쇼핑㈜롯데엔터테인먼트
타이탄,2010-04-01,"2,685,508",694,미국,워너브러더스 코리아(주)
드래곤 길들이기,2010-05-20,"2,603,857",562,미국,씨제이엔터테인먼트
해리 포터와 죽음의 성물1,2010-12-15,"2,364,808",718,미국,워너브러더스 코리아(주)
하녀,2010-05-13,"2,304,487",577,한국,(주)싸이더스
나잇&데이,2010-06-24,"2,282,191",501,미국,이십세기폭스코리아(주)
슈렉 포에버,2010-07-01,"2,261,356",561,미국,씨제이엔터테인먼트
이상한 나라의 앨리스,2010-03-04,"2,182,365",401,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
초능력자,2010-11-10,"2,164,805",622,한국,(주)넥스트엔터테인먼트월드(NEW)
이클립스,2010-07-07,"2,105,050",535,미국,(주)넥스트엔터테인먼트월드(NEW)
쩨쩨한 로맨스,2010-12-01,"2,022,626",463,한국,롯데쇼핑㈜롯데엔터테인먼트
페르시아의 왕자: 시간의 모래,2010-05-27,"2,003,533",570,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
퍼시 잭슨과 번개 도둑,2010-02-11,"1,877,226",353,미국,이십세기폭스코리아(주)
해결사,2010-09-09,"1,873,327",524,한국,"(주)넥스트엔터테인먼트월드(NEW),(주)에스비에스콘텐츠허브"
악마를 보았다,2010-08-12,"1,848,418",494,한국,(주)쇼박스
로빈 후드,2010-05-13,"1,596,574",555,미국,유니버설픽쳐스인터내셔널 코리아(유)
무적자,2010-09-16,"1,571,432",416,한국,씨제이엔터테인먼트
토이 스토리 3,2010-08-05,"1,484,843",394,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
구르믈 버서난 달처럼,2010-04-28,"1,407,681",509,한국,에스케이텔레콤(주)
황해,2010-12-22,"1,404,156",618,한국,"(주)쇼박스,이십세기폭스코리아(주)"
라스트 에어벤더,2010-08-19,"1,394,110",396,미국,씨제이엔터테인먼트
헬로우 고스트,2010-12-22,"1,234,138",472,한국,(주)넥스트엔터테인먼트월드(NEW)
육혈포 강도단,2010-03-18,"1,233,582",319,한국,롯데쇼핑㈜롯데엔터테인먼트
심야의 F.M.,2010-10-14,"1,228,673",422,한국,롯데쇼핑㈜롯데엔터테인먼트
레지던트 이블 4: 끝나지 않은 전쟁 3D,2010-09-16,"1,209,538",335,독일,한국소니픽쳐스릴리징브에나비스타영화㈜
나니아 연대기: 새벽 출정호의 항해,2010-12-08,"1,149,843",502,미국,이십세기폭스코리아(주)
용서는 없다,2010-01-07,"1,144,238",334,한국,(주)시네마서비스
베스트셀러,2010-04-15,"1,099,665",317,한국,(주)시너지하우스 (시너지)
김종욱 찾기,2010-12-08,"1,090,239",442,한국,씨제이엔터테인먼트
마루 밑 아리에티,2010-09-09,"1,083,746",337,일본,씨제이엔터테인먼트
셜록 홈즈,2009-12-23,"1,070,297",377,미국,워너브러더스 코리아(주)
슈퍼 배드,2010-09-16,"1,043,904",321,미국,유니버설픽쳐스인터내셔널 코리아(유)
파괴된 사나이,2010-07-01,"1,030,285",190,한국,(주)시너지하우스 (시너지)
셔터 아일랜드,2010-03-18,"1,006,833",275,미국,씨제이엔터테인먼트
방가? 방가!,2010-09-30,"989,021",259,한국,(주)시너지하우스 (시너지)
평행이론,2010-02-18,"937,029",272,한국,씨제이엔터테인먼트
투어리스트,2010-12-09,"911,578",439,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
스카이 라인,2010-11-24,"873,079",431,미국,(주)화앤담이엔티
고死 두 번째 이야기: 교생실습,2010-07-28,"872,594",320,한국,(주)넥스트엔터테인먼트월드(NEW)
A-특공대,2010-06-10,"791,173",330,미국,이십세기폭스코리아(주)
주유소 습격사건 2,2010-01-21,"742,475",322,한국,(주)시네마서비스
마음이2,2010-07-21,"707,748",261,한국,롯데쇼핑㈜롯데엔터테인먼트
내 깡패 같은 애인,2010-05-20,"699,973",248,한국,롯데쇼핑㈜롯데엔터테인먼트
스텝 업 3D,2010-08-05,"682,712",253,미국,(주)화앤담이엔티
하늘에서 음식이 내린다면,2010-02-11,"665,096",281,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
오션스,2010-07-28,"650,994",217,프랑스,롯데쇼핑㈜롯데엔터테인먼트
명탐정 코난: 천공의 난파선,2010-07-21,"628,423",234,일본,에이원엔터테인먼트
새미의 어드벤쳐,2010-12-15,"613,195",311,벨기에,씨제이엔터테인먼트
그린 존,2010-03-25,"606,841",280,미국,(주)싸이더스
이층의 악당,2010-11-24,"605,224",384,한국,(주)싸이더스
반가운 살인자,2010-04-08,"599,176",261,한국,롯데쇼핑㈜롯데엔터테인먼트
레터스 투 줄리엣,2010-10-06,"593,630",284,미국,(주)넥스트엔터테인먼트월드(NEW)
퀴즈왕,2010-09-16,"583,183",323,한국,(주)시네마서비스
마법사의 제자,2010-07-21,"582,698",298,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
앨빈과 슈퍼밴드2,2009-12-30,"519,592",237,미국,이십세기폭스코리아(주)
소셜 네트워크,2010-11-18,"517,286",302,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
피라냐,2010-08-26,"515,074",306,미국,에스케이텔레콤(주)
먹고 기도하고 사랑하라,2010-09-30,"509,623",280,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
불량남녀,2010-11-04,"491,207",345,한국,(주)쇼박스
레드,2010-11-03,"489,855",322,미국,(주)화앤담이엔티
친정엄마,2010-04-22,"478,822",276,한국,(주)싸이더스
식객2 : 김치전쟁,2010-01-28,"471,103",357,한국,롯데쇼핑㈜롯데엔터테인먼트
적인걸: 측천무후의 비밀,2010-10-06,"468,273",286,중국,롯데쇼핑㈜롯데엔터테인먼트
언스토퍼블,2010-11-10,"459,535",309,미국,이십세기폭스코리아(주)
대한민국 1%,2010-05-05,"447,569",287,한국,롯데쇼핑㈜롯데엔터테인먼트
파라노말 액티비티,2010-01-13,"446,510",187,미국,(주)넥스트엔터테인먼트월드(NEW)
워리어스 웨이,2010-12-01,"437,101",441,미국,에스케이텔레콤(주)
나인,2009-12-31,"405,787",332,미국,(주)시너지하우스 (시너지)
섹스 앤 더 시티 2,2010-06-10,"405,580",238,미국,워너브러더스 코리아(주)
아스트로 보이-아톰의 귀환,2010-01-13,"401,477",285,미국,㈜케이디미디어
익스펜더블,2010-08-19,"398,097",256,미국,(주)싸이더스
공자 춘추전국시대,2010-02-11,"377,801",243,중국,(주)시너지하우스 (시너지)
프롬 파리 위드 러브,2010-03-11,"375,573",300,프랑스,㈜케이디미디어
파라노말 액티비티 2,2010-10-21,"364,251",177,미국,씨제이엔터테인먼트
블라인드 사이드,2010-04-15,"359,899",132,미국,워너브러더스 코리아(주)
맨발의 꿈,2010-06-24,"338,080",333,한국,(주)쇼박스
킬러스,2010-09-02,"329,086",280,미국,(주)넥스트엔터테인먼트월드(NEW)
검우강호,2010-10-14,"318,157",343,홍콩,(주)에스비에스콘텐츠허브
라스트 갓파더,2010-12-29,"318,040",474,한국,씨제이엔터테인먼트
가디언의 전설,2010-10-28,"307,217",268,미국,워너브러더스 코리아(주)
베스트 키드,2010-06-10,"292,529",259,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
프레데터스,2010-08-26,"281,642",230,미국,이십세기폭스코리아(주)
울프맨,2010-02-11,"270,683",266,미국,유니버설픽쳐스인터내셔널 코리아(유)
극장판 도라에몽: 진구의 인어대해전,2010-07-28,"264,918",144,일본,씨제이엔터테인먼트
"울지마, 톤즈",2010-09-09,"261,822",22,한국,주식회사 마운틴픽쳐스
월 스트리트: 머니 네버 슬립스,2010-10-21,"245,343",286,미국,이십세기폭스코리아(주)
사랑은 너무 복잡해,2010-03-11,"238,073",186,미국,유니버설픽쳐스인터내셔널 코리아(유)
인플루언스,2010-08-19,"229,610",3,한국,
폐가,2010-08-19,"229,610",160,한국,(주)시너지하우스 (시너지)
포스 카인드,2010-02-25,"229,014",189,미국,(주)넥스트엔터테인먼트월드(NEW)
